year,county,cause,sex,age_code,N
92,101,2,1,22,2
92,101,2,2,22,1
92,101,2,1,23,1
92,101,6,2,21,1
92,101,6,1,21,2
92,101,6,1,22,1
92,101,6,2,23,2
92,101,6,1,24,2
92,101,6,2,24,2
92,101,10,1,7,1
92,101,10,2,10,1
92,101,10,1,10,1
92,101,10,1,11,1
92,101,10,2,12,1
92,101,10,1,13,5
92,101,10,2,13,3
92,101,10,2,14,4
92,101,10,1,15,7
92,101,10,2,15,7
92,101,10,1,16,8
92,101,10,2,16,9
92,101,10,1,17,13
92,101,10,2,17,12
92,101,10,2,18,10
92,101,10,1,18,12
92,101,10,1,19,8
92,101,10,2,19,16
92,101,10,2,20,20
92,101,10,1,20,15
92,101,10,1,21,31
92,101,10,2,21,18
92,101,10,1,22,36
92,101,10,2,22,29
92,101,10,1,23,16
92,101,10,2,23,12
92,101,10,2,24,5
92,101,10,1,24,5
92,101,10,2,25,1
92,101,11,2,11,1
92,101,11,1,13,1
92,101,11,1,16,1
92,101,11,1,17,4
92,101,11,2,17,1
92,101,11,2,18,2
92,101,11,1,18,1
92,101,11,1,19,5
92,101,11,2,19,4
92,101,11,1,20,7
92,101,11,2,20,4
92,101,11,1,21,8
92,101,11,2,21,9
92,101,11,1,22,5
92,101,11,2,22,11
92,101,11,1,23,3
92,101,11,2,23,8
92,101,11,2,24,2
92,101,11,1,24,2
92,101,14,1,19,1
92,101,14,1,24,1
92,101,15,1,14,1
92,101,16,1,12,2
92,101,16,2,13,1
92,101,16,1,14,1
92,101,16,1,15,1
92,101,16,1,16,2
92,101,16,2,17,1
92,101,16,1,17,3
92,101,16,1,18,3
92,101,16,2,18,1
92,101,16,1,19,5
92,101,16,2,19,1
92,101,16,1,20,9
92,101,16,2,21,5
92,101,16,1,21,9
92,101,16,1,22,13
92,101,16,2,22,8
92,101,16,1,23,10
92,101,16,2,23,8
92,101,16,2,24,1
92,101,16,1,24,2
92,101,16,2,25,5
92,101,16,1,25,1
92,101,17,1,18,1
92,101,17,2,20,1
92,101,17,2,21,1
92,101,17,2,22,3
92,101,17,1,22,3
92,101,17,1,23,1
92,101,17,2,24,2
92,101,18,1,14,1
92,101,18,1,15,1
92,101,18,1,16,1
92,101,18,1,18,5
92,101,18,2,18,4
92,101,18,1,20,5
92,101,18,2,20,1
92,101,18,1,21,10
92,101,18,2,21,6
92,101,18,1,22,8
92,101,18,2,22,7
92,101,18,1,23,5
92,101,18,2,23,6
92,101,18,2,24,3
92,101,18,1,24,1
92,101,18,2,25,1
92,101,18,2,26,1
92,101,20,1,14,1
92,101,20,1,15,1
92,101,20,1,16,1
92,101,20,1,17,1
92,101,20,1,18,1
92,101,20,2,19,1
92,101,20,1,19,3
92,101,20,1,20,4
92,101,20,2,20,1
92,101,20,1,21,1
92,101,20,2,21,2
92,101,20,1,22,9
92,101,20,2,22,3
92,101,20,1,23,4
92,101,20,2,23,4
92,101,20,2,24,2
92,101,20,1,24,2
92,101,22,2,15,1
92,101,22,2,20,1
92,101,22,1,21,1
92,101,22,1,22,2
92,101,22,1,23,1
92,101,22,2,24,1
92,101,23,1,20,2
92,101,23,1,22,1
92,101,23,1,26,1
92,101,25,1,12,2
92,101,25,1,14,2
92,101,25,1,15,3
92,101,25,1,16,2
92,101,25,2,18,2
92,101,25,1,18,1
92,101,25,2,19,2
92,101,25,1,19,1
92,101,25,1,21,1
92,101,25,2,22,1
92,101,25,1,22,4
92,101,25,2,23,1
92,101,25,1,23,1
92,101,26,2,16,1
92,101,26,1,18,1
92,101,26,2,18,1
92,101,26,2,19,2
92,101,26,1,19,1
92,101,26,1,20,4
92,101,26,2,20,2
92,101,26,2,21,3
92,101,26,1,21,2
92,101,26,1,22,4
92,101,26,2,22,1
92,101,26,2,23,4
92,101,26,1,23,3
92,101,26,2,24,1
92,101,26,2,25,1
92,101,27,1,24,2
92,101,30,2,1,1
92,101,30,1,1,1
92,101,30,1,2,1
92,101,30,1,3,1
92,101,30,1,6,1
92,101,30,2,14,1
92,101,31,1,1,3
92,101,32,1,7,1
92,101,32,2,9,1
92,101,32,1,11,1
92,101,32,2,12,1
92,101,32,1,13,2
92,101,32,1,14,2
92,101,32,1,16,1
92,101,32,1,17,1
92,101,32,2,18,1
92,101,32,1,18,1
92,101,32,1,19,1
92,101,32,2,19,1
92,101,32,2,20,1
92,101,32,1,20,2
92,101,32,2,21,1
92,101,32,1,21,2
92,101,32,2,22,3
92,101,32,1,22,1
92,101,32,2,23,2
92,101,32,1,23,1
92,101,32,1,24,1
92,101,32,2,26,1
92,101,33,1,8,1
92,101,33,1,9,1
92,101,33,2,10,1
92,101,33,2,11,1
92,101,33,1,12,1
92,101,33,2,13,1
92,101,33,1,13,1
92,101,33,1,14,3
92,101,33,2,14,2
92,101,33,1,15,1
92,101,33,1,16,1
